kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,akreditasi_sekolah,jumlah_ma,satuan,tahun
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209191,JAMBLANG,32.09.40,JAMBLANG,A,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209191,JAMBLANG,32.09.40,JAMBLANG,B,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209191,JAMBLANG,32.09.40,JAMBLANG,C,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209191,JAMBLANG,32.09.40,JAMBLANG,BELUM,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209200,ARJAWINANGUN,32.09.24,ARJAWINANGUN,A,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209200,ARJAWINANGUN,32.09.24,ARJAWINANGUN,B,3,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209200,ARJAWINANGUN,32.09.24,ARJAWINANGUN,C,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209200,ARJAWINANGUN,32.09.24,ARJAWINANGUN,BELUM,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209201,PANGURAGAN,32.09.25,PANGURAGAN,A,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209201,PANGURAGAN,32.09.25,PANGURAGAN,B,3,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209201,PANGURAGAN,32.09.25,PANGURAGAN,C,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209201,PANGURAGAN,32.09.25,PANGURAGAN,BELUM,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209210,CIWARINGIN,32.09.26,CIWARINGIN,A,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209210,CIWARINGIN,32.09.26,CIWARINGIN,B,1,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209210,CIWARINGIN,32.09.26,CIWARINGIN,C,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209210,CIWARINGIN,32.09.26,CIWARINGIN,BELUM,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209211,GEMPOL,32.09.37,GEMPOL,A,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209211,GEMPOL,32.09.37,GEMPOL,B,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209211,GEMPOL,32.09.37,GEMPOL,C,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209211,GEMPOL,32.09.37,GEMPOL,BELUM,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209220,SUSUKAN,32.09.27,SUSUKAN,A,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209220,SUSUKAN,32.09.27,SUSUKAN,B,1,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209220,SUSUKAN,32.09.27,SUSUKAN,C,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209220,SUSUKAN,32.09.27,SUSUKAN,BELUM,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209230,GEGESIK,32.09.28,GEGESIK,A,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209230,GEGESIK,32.09.28,GEGESIK,B,1,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209230,GEGESIK,32.09.28,GEGESIK,C,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209230,GEGESIK,32.09.28,GEGESIK,BELUM,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209231,KALIWEDI,32.09.29,KALIWEDI,A,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209231,KALIWEDI,32.09.29,KALIWEDI,B,1,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209231,KALIWEDI,32.09.29,KALIWEDI,C,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209231,KALIWEDI,32.09.29,KALIWEDI,BELUM,0,UNIT,2021
